546922	17	0	0	17	4	Insuf.
553568	19.5	0	0	19.5	5.5	25
546817	5.5	5.75	6.75	18	6.25	24
565910	5.5	5	1	11.5	7	19
257745	19	0	0	19	6.25	25
565538	5.5	5.5	7	18	6.5	25
564596	18.5	0	0	18.5	10	29
547005	19.5	0	0	19.5	3.75	Insuf.
561060	15	0	0	15	4	Insuf.
549040	5.75	6	0.75	12.5	7.5	20
524783	15	0	0	15	3.75	Insuf.
547888	19	0	0	19	5.5	25
546569	14	0	0	14	5.5	20
534953	17.75	0	0	17.75	6.25	24
559784	6.25	6.25	7	19.5	8	28
546965	5.5	6	10	21.5	6	28
549121	13.75	0	0	13.75	6.5	20
533954	12	0	0	12	4.5	Insuf.
501311	3	3	6	12	3	Insuf.
537569	21.25	0	0	21.25	7.25	29
558743	20	0	0	20	10	30
521030	19.5	0	0	19.5	5.5	25
478010	5.75	6	7	18.75	5.5	24
489147	5	6	8	19	5.75	25
558744	17	0	0	17	8.25	25
519727	16	0	0	16	7.5	24
546452	12.5	0	0	12.5	4.5	Insuf.
560856	20.25	0	0	20.25	5.75	26
474951	15	0	0	15	5.5	21
