510116	5.5	4	9	18.5	7.5	26
562316	19.5	0	0	19.5	6.5	26
558666	6	6	7.75	19.75	8.25	28
559888	15.75	0	0	15.75	8.5	24
521884	6	1.5	4	11.5	8	20
547888	6	6	7	19	5.25	Insuf.
561060	5	5	5	15	0	Insuf.
546922	5	5	7	17	0	Insuf.
547193	6	2	9	17	8.5	26
501311	5	2	4.5	11.5	2.75	Insuf.
549040	0	0	0	0	7.5	Insuf.
558944	4	5.75	7	16.75	5.75	23
546620	3	2.5	6	11.5	2	Insuf.
562984	20.25	0	0	20.25	6.5	27
547236	4.5	5	9	18.5	7.25	26
546362	5.5	0	7	12.5	7	20
561883	5.75	6	9	20.75	5.5	26
502047	5	5.25	7.75	18	8	26
534953	17.75	0	0	17.75	5.25	Insuf.
551428	6	6	9	21	6.5	28
546452	12.5	0	0	12.5	2	Insuf.
521030	5.75	5	8.75	19.5	4.75	Insuf.
562160	5.25	2	5.5	12.75	7	20
558744	5.5	4.5	7	17	0	Insuf.
533710	15.75	0	0	15.75	6.75	23
560882	17	0	0	17	6.75	24
257745	5.75	6.25	7	19	0	Insuf.
566201	5.75	2	9	16.75	5.75	23
558743	6	5	9	20	0	Insuf.
537569	6.25	5.75	9.25	21.25	0	Insuf.
500936	4	4.5	5.75	14.25	8	22
546569	4	4.5	5.5	14	4.5	Insuf.
533954	12	0	0	12	3.5	Insuf.
519727	16	0	0	16	5	Insuf.
547005	6	6	7.5	19.5	0	Insuf.
