561751	0	0	0	0	7.25	Insufficiente
479197	2.5	2.5	9	14	5.75	20
540730	4	3	7.5	14.5	5.75	20
546622	6	2	6	14	4.75	Insufficiente
560695	5	5.5	9	19.5	8.5	28
534909	0	0	0	0	1.5	Insufficiente
559298	5.5	6	9	20.5	9.5	30
553614	6	0	9	15	7.5	23
546444	4	0	0	4	6.5	Insufficiente
534953	5.75	3	9	17.75	0	Insufficiente
474951	5	6	4	15	2	Insufficiente
558688	5.5	6	9	20.5	8.25	29
560856	5.5	5.75	9	20.25	0	Insufficiente
564697	5.75	6	9	20.75	0	Insufficiente
540551	0	0	0	0	7.25	Insufficiente
533954	6	2	4	12	3.25	Insufficiente
563758	0	0	0	0	6.75	Insufficiente
533945	5	1	9	15	3.5	Insufficiente
560882	4	4	9	17	0	Insufficiente
596638	5.25	2.25	9	16.5	5.5	22
594425	5.75	4.25	9	19	6	25
526104	6.25	6	9	21.25	6	27
565375	5	5.75	9	19.75	0	Insufficiente
536969	0	0	0	0	6.75	Insufficiente
596483	5	4.75	9	18.75	2.25	Insufficiente
519900	5.5	2	9	16.5	5.75	22
597249	5	2	9	16	5.75	22
558511	0	0	0	0	5.5	Insufficiente
559909	4	0	6	10	0	Insufficiente
548665	5	0	3	8	0	Insufficiente
499619	3	0	0	3	4.25	Insufficiente
